Time,Intensity
0.002213706,36904.344000
0.007376243,13271018.000000
0.011334639,12452447.000000
0.013581211,8779.100600
0.016020980,19491.436000
0.018263723,13270983.000000
0.022392990,14569909.000000
0.025838726,14632015.000000
0.029240757,14646428.000000
0.032638790,14499529.000000
0.036059226,14615248.000000
0.039415742,13891212.000000
0.042853341,14094648.000000
0.046261459,15511293.000000
0.049698974,14569124.000000
0.053082491,15322553.000000
0.056471909,14463165.000000
0.059873856,15049231.000000
0.063261693,14868417.000000
0.066686639,14135494.000000
0.070111590,14943775.000000
0.073555276,14650840.000000
0.077038691,15043578.000000
0.080455356,14866037.000000
0.083882707,15099228.000000
0.086106311,16376.149000
0.088639544,9638.591800
0.091044908,14618895.000000
0.095409776,14349792.000000
0.098813841,14320237.000000
0.102336760,16320198.000000
0.105784760,14146141.000000
0.109257640,13672839.000000
0.112753420,14731081.000000
0.116299140,16003056.000000
0.119769980,15669272.000000
0.123205360,15408908.000000
0.126680470,15630219.000000
0.130109460,14986382.000000
0.133661490,15327429.000000
0.135937430,24890.316000
0.138974220,14012732.000000
0.142849390,14044009.000000
0.146351210,13321900.000000
0.149794940,14166986.000000
0.153286760,14141625.000000
0.156769990,14302556.000000
0.160232660,14313792.000000
0.163738640,14525994.000000
0.167243030,14307939.000000
0.170734810,14430207.000000
0.174257740,14030615.000000
0.177726360,15875157.000000
0.181274440,14805693.000000
0.184784870,14324833.000000
0.188340940,13983203.000000
0.191841110,15930542.000000
0.195322390,14810185.000000
0.198811770,14443595.000000
0.202336690,14652775.000000
0.205840910,15455627.000000
0.209359610,14120646.000000
0.212834860,14501596.000000
0.216403320,13869304.000000
0.219905370,14955104.000000
0.223399110,13916678.000000
0.226892940,13279253.000000
0.229183310,16105.531000
0.232047270,14489227.000000
0.236093060,14386139.000000
0.239553440,15230217.000000
0.243030460,15106834.000000
0.246532510,14297479.000000
0.250022210,14923685.000000
0.253563760,14712784.000000
0.257888840,13796582.000000
0.262043080,13491582.000000
0.265519840,14036379.000000
0.268993090,14209297.000000
0.272495180,13871451.000000
0.276072190,14609471.000000
0.279551190,14835385.000000
0.283065860,14689538.000000
0.286551240,14017699.000000
0.290134630,14979534.000000
0.293588660,13904921.000000
0.297044840,12841189.000000
0.300536660,12436680.000000
0.304013840,13831791.000000
0.307589110,13499989.000000
0.311020190,14255401.000000
0.314537030,14236662.000000
0.318020330,14855744.000000
0.321447140,15185030.000000
0.325086970,14757779.000000
0.328638760,14237076.000000
0.332143090,14832576.000000
0.335659910,14880686.000000
0.339122310,14494653.000000
0.342582690,13247594.000000
