,L0,L1
0,0.007244791,0.007376243
1,0.01111964,0.01133464
2,0.01597616,0.01826372
3,0.01997407,0.02239299
4,0.02323844,0.02583873
5,0.02652621,0.02924076
6,0.02980511,0.03263879
7,0.03314912,0.03605923
8,0.03643851,0.03941574
9,0.03971751,0.04285334
10,0.04302417,0.04626146
11,0.04634686,0.04969897
12,0.04965528,0.05308249
13,0.05294666,0.05647191
14,0.05629074,0.05987386
15,0.06140526,0.0632617
16,0.06540728,0.06668664
17,0.06873879,0.07011159
18,0.07207821,0.07355528
19,0.07549484,0.07703869
20,0.0788345,0.08045536
21,0.08221574,0.0838827
22,0.08731142,0.09104491
23,0.09153239,0.09540977
24,0.09487203,0.09881384
25,0.09824073,0.1023368
26,0.101645,0.1057848
27,0.1049844,0.1092576
28,0.1083366,0.1127534
29,0.1117011,0.1162991
30,0.1150783,0.11977
31,0.1184845,0.1232054
32,0.1219242,0.1266805
33,0.1252616,0.1301095
34,0.1286283,0.1336615
35,0.1320096,0.1389742
36,0.1354325,0.1428494
37,0.1388554,0.1463512
38,0.1423095,0.1497949
39,0.1457304,0.1532868
40,0.1491011,0.15677
41,0.1525241,0.1602327
42,0.1559032,0.1637386
43,0.1592949,0.167243
44,0.1626885,0.1707348
45,0.1660969,0.1742577
46,0.1694637,0.1777264
47,0.1728825,0.1812744
48,0.1762888,0.1847849
49,0.1796866,0.1883409
50,0.1830887,0.1918411
51,0.1864596,0.1953224
52,0.189845,0.1988118
53,0.1932366,0.2023367
54,0.196672,0.2058409
55,0.2000637,0.2093596
56,0.2034823,0.2128349
57,0.2069283,0.2164033
58,0.2102885,0.2199054
59,0.2137493,0.2233991
60,0.2171468,0.2268929
61,0.2205511,0.2320473
62,0.223947,0.2360931
63,0.2273198,0.2395534
64,0.2307073,0.2430305
65,0.2341408,0.2465325
66,0.2375218,0.2500222
67,0.240947,0.2535638
68,0.2443469,0.2578889
69,0.2477322,0.2620431
70,0.2511053,0.2655198
71,0.2544907,0.2689931
72,0.2587137,0.2724952
73,0.2627721,0.2760722
74,0.2661865,0.2795512
75,0.2696116,0.2830659
76,0.2730055,0.2865512
77,0.2764096,0.2901346
78,0.2798054,0.2935887
79,0.284953,0.2970448
80,0.2887972,0.3005367
81,0.2922034,0.3040138
82,0.2956679,0.3075891
83,0.2990638,0.3110202
84,0.3024971,0.314537
85,0.3059367,0.3180203
86,0.3093576,0.3214471
87,0.3127617,0.325087
88,0.3161784,0.3286388
89,0.3196034,0.3321431
90,0.3230159,0.3356599
91,0.3264138,0.3391223
92,0.329841,0.3425827
93,0.3332554,0.3460974
94,0.3366243,0.3495661
95,0.3400367,0.3530471
96,0.3434825,0.3592119
97,0.3468805,0.3633035
98,0.3502742,0.3667848
99,0.3555012,0.3702659
100,0.35962,0.3737076
101,0.3630327,0.3772473
102,0.3664534,0.380743
103,0.3699449,0.3842183
104,0.3733368,0.3876912
105,0.3767718,0.3912119
106,0.38017,0.3947243
107,0.3835972,0.3982308
108,0.3869451,0.4033535
109,0.3903868,0.4075494
110,0.3937741,0.4109661
111,0.398918,0.4144683
112,0.4029242,0.4179682
113,0.4080637,0.4215432
114,0.412118,0.4250433
115,0.4155136,0.4285223
116,0.4189159,0.4321079
117,0.4223159,0.4355787
118,0.4276534,0.4391202
119,0.431766,0.4426181
120,0.4351888,0.4461242
121,0.4385678,0.4496493
122,0.4420098,0.4531617
123,0.446995,0.4566411
124,0.4510949,0.4601722
125,0.4545284,0.4636536
126,0.4579555,0.4671493
127,0.461349,0.4706014
128,0.464768,0.4740619
129,0.4697867,0.4792054
130,0.473841,0.4832077
131,0.4772243,0.486699
132,0.4806264,0.4902202
