Time,Intensity
0.002369775,13778.358000
0.007526125,5398339.500000
0.011380257,5205501.500000
0.013650110,20890.729000
0.016357272,4987619.500000
0.020469722,4759612.000000
0.023861441,5244353.000000
0.027353006,5481628.500000
0.030786206,5369956.500000
0.034257306,5741658.000000
0.037646708,5356077.500000
0.039887280,11179.293000
0.042715789,5565767.500000
0.046805208,5142347.000000
0.050309405,5070728.500000
0.053721807,5179478.500000
0.057221740,5532127.500000
0.060700923,5373172.000000
0.064180058,4828930.500000
0.067692659,5351478.500000
0.071200992,5791849.500000
0.074697059,5314153.500000
0.078263642,5285854.500000
0.081763289,5570678.500000
0.084020613,14832.159000
0.086472895,17825.939000
0.088984272,5870278.000000
0.093432507,6003955.500000
0.096959306,5493485.000000
0.100573710,5416441.000000
0.104086520,5702600.000000
0.107665370,5941576.000000
0.111240760,5794506.500000
0.114750940,5581375.500000
0.118311570,5841018.500000
0.121869920,6037073.000000
0.125348890,5484343.500000
0.128911590,5833153.500000
0.132413670,5921824.500000
0.136053090,5945865.500000
0.139572010,5276016.500000
0.143105210,5800810.500000
0.146713770,5843690.500000
0.150311570,5542073.000000
0.153955010,5916192.500000
0.157438610,6291673.500000
0.160978010,5854796.000000
0.164567660,5548550.000000
0.168099010,5604038.500000
0.171692840,5159725.500000
0.176086860,5435421.000000
0.180219810,5695081.500000
0.183755310,5689655.000000
0.187388540,5661096.000000
0.189679090,20058.354000
0.192797010,5536244.500000
0.196899270,5859563.000000
0.200438410,5376097.500000
0.203965660,5781838.000000
0.207611490,5946568.000000
0.211188560,5930627.500000
0.214738530,6078545.500000
0.218324270,5488192.000000
0.221853260,5771248.000000
0.225380390,5452060.500000
0.229082630,5664431.000000
0.232561640,5216399.500000
0.236163690,5861694.500000
0.239709670,5823586.000000
0.243311610,5655467.500000
0.246790810,5429236.500000
0.250430260,5516960.500000
0.253921890,5543564.500000
0.257455220,5504574.000000
0.261069960,5491046.500000
0.264667870,5550258.500000
0.268205410,5420284.500000
0.271770140,5594249.500000
0.275305390,5707873.000000
0.278847070,5894912.000000
0.282368030,5466276.000000
0.286013740,5650546.500000
0.289576240,5622156.000000
0.293155390,5761731.500000
0.296740810,6291138.500000
0.300255410,6151777.000000
0.303859560,5677861.000000
0.307390690,5802883.500000
0.310963590,5791990.000000
0.314542890,5455369.500000
0.318122090,5601444.500000
0.321663760,5393979.000000
0.325351420,5731076.000000
0.328822090,5326435.500000
0.332409590,5756408.500000
0.335957510,5603251.000000
0.340344890,5130693.500000
0.344482340,5769588.000000
0.348049160,5453700.000000
0.351651390,5449107.000000
0.353864530,20258.145000
0.356868010,5576911.000000
0.361034470,5640929.500000
0.364638610,5554885.500000
0.368228190,5633406.000000
0.371857390,5991853.000000
0.375443060,5799353.000000
0.378969990,6052823.500000
0.382588790,5927579.500000
0.386126210,5665864.000000
0.389688780,5749417.500000
0.391931140,12204.602000
0.394840720,5854610.500000
0.399055490,5915865.500000
0.402638910,6009888.000000
0.406163640,5625412.000000
0.409782560,5738957.500000
0.413307660,5777988.000000
0.416911710,6064876.500000
0.420494910,5914103.500000
0.424030440,5712489.500000
0.427603260,5772542.500000
0.431167560,5678825.000000
0.434753470,5782476.500000
0.438411570,6120521.000000
0.441888820,5699403.500000
0.445503510,5360894.500000
0.449034620,5476215.500000
0.452590940,5327118.000000
0.456188920,5539471.500000
0.458429310,10671.164000
0.461642790,6193063.500000
0.465544910,5914023.500000
0.469146870,5887131.000000
0.472807580,5854089.000000
0.476288670,5870275.500000
0.479909760,5782556.500000
0.483459660,6277255.500000
0.487040890,5678752.000000
0.490595090,5992308.500000
