Time,Intensity
0.002282641,19882.434000
0.007532892,7403568.500000
0.011478560,7474160.000000
0.013705745,14777.856000
0.016586810,7199009.500000
0.020518094,7279115.500000
0.023911744,6995032.500000
0.026152081,11996.362000
0.028880558,7378046.500000
0.033066059,7691857.500000
0.036499275,7954894.000000
0.039897344,8225541.000000
0.043347443,8076838.500000
0.046782642,8373416.500000
0.050280525,7970256.500000
0.053713808,7950492.000000
0.057188957,7616227.000000
0.060621891,8174273.000000
0.064117977,7469793.000000
0.067645142,7353819.000000
0.071157326,7282646.000000
0.074668294,7729828.500000
0.078149574,7846193.000000
0.081811727,8127859.500000
0.085274511,7745825.000000
0.088776574,7651768.000000
0.093147259,8119911.000000
0.097307524,8464001.000000
0.100870240,8368364.000000
0.104444990,7789780.000000
0.107943210,7917592.500000
0.111482630,8503720.000000
0.115084910,8987548.000000
0.117325310,13108.690000
0.120190980,8057796.500000
0.124347110,7760272.000000
0.127872480,7860556.500000
0.131418010,7402241.000000
0.134874330,7320630.500000
0.138449340,7813887.000000
0.142024590,7741092.000000
0.145555540,8368424.000000
0.149057910,8358000.000000
0.152566180,7971677.000000
0.156168210,8021347.500000
0.159620390,7529481.500000
0.163261980,7789237.500000
0.166730710,7209331.000000
0.170278590,7003678.000000
0.173888820,7550278.000000
0.177428460,7335780.000000
0.180982630,7878309.500000
0.184511830,8426143.000000
0.188089040,8318960.000000
0.191647540,8765643.000000
0.195170360,8996841.000000
0.198736960,8689305.000000
0.202333040,8157800.500000
0.205872270,7581075.000000
0.209495310,7780150.000000
0.213026110,8035979.500000
0.216587010,7662968.000000
0.220159540,8539983.000000
0.223770290,8569098.000000
0.227322440,7937952.000000
0.229612600,31599.807000
0.232476260,7406526.000000
0.236593240,8264332.500000
0.240163780,8789363.000000
0.243772410,7782204.000000
0.247297040,7864143.500000
0.250882840,8627224.000000
0.254374110,8116166.000000
0.258807360,7829087.500000
0.262989080,8691553.000000
0.266618390,8132679.500000
0.270232980,8383217.000000
0.273832480,8046921.500000
0.277401420,7791527.000000
0.281067990,7877945.000000
0.284538940,7335061.000000
0.288093040,8198111.500000
0.291630930,8374098.000000
0.295203440,8283476.000000
0.298830910,8467703.000000
0.302374670,8433557.000000
0.305897480,7979254.500000
0.309405570,7693799.500000
0.312914240,7658131.500000
0.315187930,19560.834000
0.318063890,7919850.500000
0.322172420,8008552.500000
