,L24,L31
0,0.007395408,0.007526125
1,0.01136224,0.01138026
2,0.01727882,0.01635727
3,0.02134961,0.02046972
4,0.02474332,0.02386144
5,0.02809514,0.02735301
6,0.03146612,0.03078621
7,0.03483908,0.03425731
8,0.03825586,0.03764671
9,0.04164103,0.04271579
10,0.04509109,0.04680521
11,0.04849127,0.0503094
12,0.05879739,0.05372181
13,0.06226811,0.05722174
14,0.06574111,0.06070092
15,0.06924964,0.06418006
16,0.07269768,0.06769266
17,0.07617868,0.07120099
18,0.07968074,0.07469706
19,0.08318298,0.07826364
20,0.08670176,0.08176329
21,0.09128281,0.08898427
22,0.09493282,0.09343251
23,0.09846827,0.09695931
24,0.102014,0.1005737
25,0.1055224,0.1040865
26,0.1090224,0.1076654
27,0.1125181,0.1112408
28,0.116058,0.1147509
29,0.1195247,0.1183116
30,0.1229998,0.1218699
31,0.1265101,0.1253489
32,0.1317226,0.1289116
33,0.1358163,0.1324137
34,0.1392831,0.1360531
35,0.1429018,0.139572
36,0.1480496,0.1431052
37,0.1522142,0.1467138
38,0.1557101,0.1503116
39,0.1593351,0.153955
40,0.1628225,0.1574386
41,0.1663977,0.160978
42,0.1698995,0.1645677
43,0.174308,0.168099
44,0.1784872,0.1716928
45,0.1820226,0.1760869
46,0.1855619,0.1802198
47,0.1890996,0.1837553
48,0.1925769,0.1873885
49,0.1961143,0.192797
50,0.1995955,0.1968993
51,0.2031479,0.2004384
52,0.2066268,0.2039657
53,0.2101851,0.2076115
54,0.2136998,0.2111886
55,0.2172186,0.2147385
56,0.2208102,0.2183243
57,0.2242957,0.2218533
58,0.2278811,0.2253804
59,0.2313643,0.2290826
60,0.2349101,0.2325616
61,0.2384387,0.2361637
62,0.2419476,0.2397097
63,0.2455075,0.2433116
64,0.2490244,0.2467908
65,0.2525659,0.2504303
66,0.2561123,0.2539219
67,0.2596348,0.2574552
68,0.2631475,0.26107
69,0.2666765,0.2646679
70,0.2701995,0.2682054
71,0.2737576,0.2717701
72,0.2772474,0.2753054
73,0.2807993,0.2788471
74,0.2843516,0.282368
75,0.2878619,0.2860138
76,0.2913871,0.2895762
77,0.2948725,0.2931554
78,0.2984411,0.2967408
79,0.3019786,0.3002554
80,0.3055056,0.3038596
81,0.3090472,0.3073907
82,0.3126413,0.3109636
83,0.3161598,0.3145429
84,0.3196746,0.3181221
85,0.3231934,0.3216638
86,0.3267058,0.3253514
87,0.3302245,0.3288221
88,0.333835,0.3324096
89,0.3373933,0.3359575
90,0.3417808,0.3403449
91,0.3456431,0.3444823
92,0.3492017,0.3480492
93,0.3544495,0.3516514
94,0.3586869,0.356868
95,0.3621432,0.3610345
96,0.3657286,0.3646386
97,0.3692955,0.3682282
98,0.3728392,0.3718574
99,0.3780392,0.3754431
100,0.3820828,0.37897
101,0.3856538,0.3825888
102,0.3891703,0.3861262
103,0.3926997,0.3896888
104,0.3962954,0.3948407
105,0.3997913,0.3990555
106,0.4033706,0.4026389
107,0.4068851,0.4061636
108,0.4104601,0.4097826
109,0.4139684,0.4133077
110,0.4174538,0.4169117
111,0.4209998,0.4204949
112,0.4245227,0.4240305
113,0.428031,0.4276033
114,0.4316184,0.4311676
115,0.4350974,0.4347535
116,0.4385996,0.4384116
117,0.4421496,0.4418888
118,0.44566,0.4455035
119,0.4491684,0.4490346
120,0.4527456,0.4525909
121,0.4562685,0.4561889
122,0.4597874,0.4616428
123,0.4632914,0.4655449
124,0.4668394,0.4691469
125,0.4704665,0.4728076
126,0.4740624,0.4762887
127,0.4776415,0.4799097
128,0.4811979,0.4834597
129,0.4847351,0.4870409
130,0.4883351,0.4905951
131,0.4918641,0.4942262
132,0.4953891,0.4977885
133,0.4988831,0.5013072
134,0.5024019,0.5048262
135,0.5059289,0.5084264
136,0.5094332,0.5121264
137,0.5130311,0.5156325
138,0.5183854,0.519197
139,0.5223038,0.5227765
140,0.5258498,0.5263554
141,0.5293769,0.5298638
142,0.5328582,0.5334324
143,0.5364041,0.537066
144,0.5399979,0.5406221
145,0.5435269,0.5441326
146,0.5470351,0.5478366
147,0.5506333,0.5514638
148,0.554131,0.5550076
149,0.557677,0.5585764
150,0.5611748,0.5621973
151,0.5646997,0.5657325
152,0.5682833,0.5693702
153,0.5718248,0.5729135
154,0.5753225,0.5764824
155,0.5788706,0.5801514
156,0.5858871,0.5836744
157,0.5894124,0.5872574
158,0.5929708,0.5908262
159,0.5965186,0.5943055
160,0.5999937,0.5979033
