,L6,L7
0,0.007505072,0.007537557
1,0.01151771,0.01158771
2,0.01501132,0.01686264
3,0.02605734,0.02076879
4,0.02946971,0.02429597
5,0.03451754,0.02941464
6,0.03865268,0.03358553
7,0.04215302,0.03700624
8,0.04724896,0.04209619
9,0.05140899,0.04631692
10,0.05486149,0.04979787
11,0.05854429,0.05510414
12,0.06199234,0.05916634
13,0.06549467,0.06263132
14,0.06902352,0.06613294
15,0.07248627,0.06969815
16,0.07603439,0.07318732
17,0.08308434,0.07672931
18,0.08663014,0.08028359
19,0.09097394,0.08384399
20,0.09491571,0.08741889
21,0.09849668,0.09189992
22,0.1020633,0.09581053
23,0.1056135,0.09935209
24,0.1092133,0.1029104
25,0.1127363,0.1064919
26,0.1163571,0.1101815
27,0.1199656,0.1136835
28,0.123503,0.1173288
29,0.1271594,0.1208856
30,0.1306968,0.12445
31,0.1342719,0.1280273
32,0.1378095,0.1316148
33,0.1414031,0.1369272
34,0.1449886,0.1409417
35,0.1485947,0.1445878
36,0.1521967,0.1482418
37,0.155801,0.151802
38,0.1594095,0.155498
39,0.1629906,0.159023
40,0.1665949,0.1625958
41,0.1701569,0.1662293
42,0.1737509,0.1698481
43,0.1773632,0.1743317
44,0.1809595,0.1784189
45,0.1845299,0.1838751
46,0.1881405,0.1879607
47,0.1916901,0.1916188
48,0.1954113,0.1952877
49,0.198961,0.1988896
50,0.2026219,0.2025501
51,0.2062196,0.2061292
52,0.2097595,0.2098418
53,0.2133903,0.2135211
54,0.2169803,0.2170711
55,0.220682,0.2208294
56,0.2242783,0.224417
57,0.2278592,0.2280316
58,0.2313948,0.231596
59,0.2350196,0.2351898
60,0.2386094,0.2388293
61,0.2421443,0.2424334
62,0.2457385,0.2460335
63,0.2493073,0.2496418
64,0.2528698,0.2532773
65,0.2573467,0.2569128
66,0.2612361,0.2604878
67,0.2664445,0.2641294
68,0.2706783,0.2678462
69,0.2742779,0.2714441
70,0.2778116,0.2750646
71,0.28143,0.2787149
72,0.285024,0.2823273
73,0.2886445,0.2860022
74,0.292176,0.28965
75,0.2957862,0.293242
76,0.2993531,0.2970983
77,0.303101,0.3006294
78,0.3083801,0.3042879
79,0.3127405,0.3079003
80,0.3163238,0.3115649
81,0.3199866,0.3152044
82,0.3237092,0.3188585
83,0.3272594,0.322473
84,0.3308864,0.3261356
85,0.3345346,0.3297775
86,0.3381072,0.3335317
87,0.3417845,0.3370876
88,0.3454282,0.3416107
89,0.3490572,0.345594
90,0.3526613,0.3492459
91,0.3581282,0.3565462
92,0.3620633,0.3606689
93,0.3656947,0.3660127
94,0.3693759,0.3701395
95,0.3730845,0.3738212
96,0.3766906,0.3774415
97,0.3803242,0.3810898
98,0.3839242,0.3864394
99,0.3915261,0.3904651
100,0.3956865,0.394198
101,0.3993259,0.3978711
102,0.4030447,0.4014585
103,0.4066552,0.4051044
104,0.4102262,0.4087125
105,0.4138178,0.4123647
106,0.4174096,0.4159477
107,0.4210009,0.4195814
108,0.4246053,0.4232833
109,0.4282408,0.4268816
110,0.4336468,0.4305462
111,0.4376825,0.434144
112,0.4412846,0.4377418
113,0.4448595,0.4414796
114,0.4484012,0.4451146
115,0.4519863,0.4486983
116,0.4555404,0.4523416
117,0.4591782,0.4559689
118,0.4627199,0.4596561
119,0.466422,0.4633213
120,0.4700451,0.466873
121,0.4736471,0.4704963
122,0.4772678,0.4741338
123,0.4808346,0.4777879
124,0.4844452,0.481421
125,0.4880075,0.4850648
126,0.4915553,0.4887043
127,0.4951221,0.4923294
128,0.4987259,0.49595
129,0.502324,0.4998359
130,0.505976,0.5033814
131,0.5104719,0.5070921
132,0.5146012,0.5107418
133,0.5182555,0.5144129
134,0.5218513,0.5180335
135,0.525453,0.5216568
136,0.5290366,0.525325
137,0.5326262,0.5289146
138,0.536182,0.5325378
139,0.5397492,0.5362293
140,0.543305,0.5398192
141,0.546847,0.5434169
142,0.5504196,0.547067
143,0.5541305,0.5507086
144,0.5577281,0.5543213
145,0.5613176,0.5580149
146,0.5649034,0.5616525
147,0.5684759,0.5653
148,0.5720719,0.5688919
149,0.5757758,0.5725064
150,0.5793823,0.5761232
151,0.5830343,0.5797626
152,0.5866221,0.5833315
153,0.5904009,0.5871732
154,0.5939512,0.5908463
155,0.5974759,0.5945399
156,0.6012118,0.5981942
157,0.6047634,0.6018023
158,0.6083555,0.6054671
159,0.6119993,0.6091648
160,0.6155886,0.6128379
161,0.6194116,0.6166233
162,0.622976,0.6202315
163,0.6265242,0.6256607
164,0.6301884,0.6298797
165,0.6337409,0.6335149
166,0.6373906,0.637115
167,0.6409639,0.6408441
168,0.6445614,0.6444213
169,0.6481388,0.6480983
170,0.6517885,0.651688
171,0.6553764,0.6553022
172,0.6589426,0.6589942
173,0.6625783,0.6625919
174,0.6662033,0.6663525
175,0.6698073,0.66999
176,0.6745532,0.6736317
177,0.6784531,0.677263
178,0.6820868,0.6810485
179,0.6856385,0.6847088
180,0.6892263,0.6883402
181,0.6946824,0.6938232
182,0.6987157,0.6977839
183,0.7023596,0.7014338
184,0.7059968,0.705067
185,0.7096283,0.708742
186,0.713291,0.7124255
187,0.716895,0.7160025
188,0.7204535,0.7196046
189,0.724047,0.723219
190,0.7292867,0.7268546
191,0.7333761,0.7304714
192,0.7369868,0.7341234
193,0.7405989,0.7377859
194,0.7441971,0.741386
195,0.7478282,0.7449774
196,0.7513973,0.7486274
197,0.7550345,0.7522922
198,0.7587139,0.7559649
199,0.7623489,0.762563
200,0.7659115,0.7667087
201,0.7696367,0.7704128
202,0.7731827,0.7778381
203,0.776918,0.7819334
204,0.7804702,0.7855296
