,L21,L24
0,0.007344478,0.007395408
1,0.01182996,0.01136224
2,0.01569036,0.01727882
3,0.02060071,0.02134961
4,0.02466726,0.02474332
5,0.02802363,0.02809514
6,0.03137341,0.03146612
7,0.03475284,0.03483908
8,0.03811973,0.03825586
9,0.04327584,0.04164103
10,0.04717161,0.04509109
11,0.05054436,0.04849127
12,0.05391113,0.05191189
13,0.05731517,0.05539727
14,0.06071299,0.05879739
15,0.06415699,0.06226811
16,0.06762983,0.06574111
17,0.07104214,0.06924964
18,0.07449446,0.07269768
19,0.07794853,0.07617868
20,0.08142593,0.07968074
21,0.08487366,0.08318298
22,0.08834635,0.08670176
23,0.09284039,0.09128281
24,0.09681547,0.09493282
25,0.1002612,0.09846827
26,0.1037048,0.102014
27,0.1071339,0.1055224
28,0.110611,0.1090224
29,0.11409,0.1125181
30,0.1174758,0.116058
31,0.1209735,0.1195247
32,0.1243902,0.1229998
33,0.1279008,0.1265101
34,0.1313316,0.1317226
35,0.1348051,0.1358163
36,0.1382779,0.1392831
37,0.1417278,0.1429018
38,0.1452363,0.1480496
39,0.1486987,0.1522142
40,0.1522028,0.1557101
41,0.155657,0.1593351
42,0.1591029,0.1628225
43,0.1626006,0.1663977
44,0.1660676,0.1698995
45,0.1695612,0.174308
46,0.1738382,0.1784872
47,0.1780381,0.1820226
48,0.1820697,0.1855619
49,0.185507,0.1890996
50,0.1889779,0.1925769
51,0.1924239,0.1961143
52,0.1992675,0.1995955
53,0.2027593,0.2031479
54,0.2062592,0.2066268
55,0.2097028,0.2101851
56,0.2149633,0.2136998
57,0.2190712,0.2172186
58,0.2224903,0.2208102
59,0.2259399,0.2242957
60,0.2293442,0.2278811
61,0.2328029,0.2313643
62,0.2362505,0.2349101
63,0.2397151,0.2384387
64,0.2431697,0.2419476
65,0.2466401,0.2455075
66,0.2500777,0.2490244
67,0.2535093,0.2525659
68,0.2600047,0.2561123
69,0.2640548,0.2596348
70,0.2676133,0.2631475
71,0.2710193,0.2666765
72,0.2744714,0.2701995
73,0.2779526,0.2737576
74,0.2813984,0.2772474
75,0.2848631,0.2807993
76,0.2883611,0.2843516
77,0.291811,0.2878619
78,0.2953009,0.2913871
79,0.2987924,0.2948725
80,0.302234,0.2984411
81,0.3056986,0.3019786
82,0.3090965,0.3055056
83,0.3125215,0.3090472
84,0.3159528,0.3126413
85,0.3194238,0.3161598
86,0.3229049,0.3196746
87,0.3263173,0.3231934
88,0.3297695,0.3267058
89,0.3332299,0.3302245
90,0.3367174,0.333835
91,0.3401778,0.3373933
92,0.3436259,0.3417808
93,0.3471299,0.3456431
94,0.3505402,0.3492017
95,0.3539841,0.3544495
96,0.3574528,0.3586869
97,0.3609423,0.3621432
98,0.3643423,0.3657286
99,0.3695801,0.3692955
100,0.3736134,0.3728392
101,0.3771175,0.3780392
102,0.3805798,0.3820828
103,0.3840259,0.3856538
104,0.3875194,0.3891703
105,0.391059,0.3926997
106,0.3945153,0.3962954
107,0.3980235,0.3997913
108,0.4031573,0.4033706
109,0.4072531,0.4068851
110,0.4106985,0.4104601
111,0.4141694,0.4139684
112,0.4176424,0.4174538
113,0.4211133,0.4209998
114,0.4253864,0.4245227
115,0.4295968,0.428031
116,0.4336301,0.4316184
117,0.4370531,0.4350974
118,0.4405551,0.4385996
119,0.4439592,0.4421496
120,0.4474299,0.44566
121,0.4508486,0.4491684
122,0.4543091,0.4527456
123,0.4577695,0.4562685
124,0.46128,0.4597874
125,0.4647363,0.4632914
126,0.4682905,0.4668394
127,0.4717216,0.4704665
128,0.4752115,0.4740624
129,0.4786468,0.4776415
130,0.4820906,0.4811979
131,0.4855178,0.4847351
132,0.4889572,0.4883351
133,0.4924051,0.4918641
134,0.4959073,0.4953891
135,0.4993322,0.4988831
136,0.5028698,0.5024019
137,0.5063635,0.5059289
138,0.5099158,0.5094332
139,0.5133407,0.5130311
140,0.5168447,0.5183854
141,0.5203031,0.5223038
142,0.525353,0.5258498
143,0.5294407,0.5293769
144,0.5328656,0.5328582
145,0.5363906,0.5364041
146,0.5398279,0.5399979
147,0.5432823,0.5435269
148,0.5467344,0.5470351
149,0.5501779,0.5506333
150,0.5536031,0.554131
151,0.5570717,0.557677
152,0.560524,0.5611748
153,0.5639925,0.5646997
154,0.5673904,0.5682833
155,0.5709156,0.5718248
156,0.5743467,0.5753225
157,0.5778467,0.5788706
158,0.5812739,0.5823665
159,0.5847613,0.5858871
160,0.5882424,0.5894124
161,0.5917488,0.5929708
162,0.5951969,0.5965186
163,0.5986657,0.5999937
164,0.6020738,0.6035458
165,0.6055344,0.6070747
166,0.6090095,0.6106979
167,0.6142532,0.6142104
168,0.618205,0.617748
169,0.6216155,0.6212816
170,0.6251031,0.62485
171,0.6285571,0.6283727
172,0.6320428,0.6318704
173,0.6371323,0.6353894
174,0.6412239,0.6389018
175,0.6446925,0.6424685
176,0.6481447,0.6460354
177,0.651628,0.6495791
178,0.6550738,0.6531081
