,L3,L6
0,0.007530826,0.007505072
1,0.01153719,0.01151771
2,0.01487473,0.01501132
3,0.01982663,0.02200712
4,0.02398296,0.02605734
5,0.02749526,0.02946971
6,0.03094558,0.03451754
7,0.03803096,0.03865268
8,0.04214976,0.04215302
9,0.04565136,0.04724896
10,0.04908913,0.05140899
11,0.05255566,0.05486149
12,0.05604734,0.05854429
13,0.05951001,0.06199234
14,0.06304121,0.06549467
15,0.06656836,0.06902352
16,0.07003288,0.07248627
17,0.07358309,0.07603439
18,0.07713266,0.07951341
19,0.08061643,0.08308434
20,0.08417667,0.08663014
21,0.0876976,0.09097394
22,0.09211008,0.09491571
23,0.09598281,0.09849668
24,0.09953073,0.1020633
25,0.1030996,0.1056135
26,0.1067331,0.1092133
27,0.1103372,0.1127363
28,0.1139262,0.1163571
29,0.1175017,0.1199656
30,0.1210494,0.123503
31,0.1246807,0.1271594
32,0.1282456,0.1306968
33,0.1318184,0.1342719
34,0.1354013,0.1378095
35,0.1389204,0.1414031
36,0.1425371,0.1449886
37,0.1478056,0.1485947
38,0.151908,0.1521967
39,0.1555098,0.155801
40,0.1590724,0.1594095
41,0.1626682,0.1629906
42,0.1662768,0.1665949
43,0.1698474,0.1701569
44,0.173408,0.1737509
45,0.1770186,0.1773632
46,0.1806477,0.1809595
47,0.1842017,0.1845299
48,0.1878081,0.1881405
49,0.1915058,0.1916901
50,0.1951206,0.1954113
51,0.198741,0.198961
52,0.2023747,0.2026219
53,0.2059349,0.2062196
54,0.2094788,0.2097595
55,0.2130766,0.2133903
56,0.2167622,0.2169803
57,0.2203933,0.220682
58,0.2240499,0.2242783
59,0.2276911,0.2278592
60,0.2313809,0.2313948
61,0.2349101,0.2350196
62,0.2385665,0.2386094
63,0.2421577,0.2421443
64,0.2457518,0.2457385
65,0.249418,0.2493073
66,0.2530706,0.2528698
67,0.2575601,0.2573467
68,0.2614478,0.2612361
69,0.265031,0.2664445
70,0.2686101,0.2706783
71,0.2722893,0.2742779
72,0.2758412,0.2778116
73,0.2794622,0.28143
74,0.2830788,0.285024
75,0.2866166,0.2886445
76,0.2902954,0.292176
77,0.2940041,0.2957862
78,0.2975645,0.2993531
79,0.301181,0.303101
80,0.3047853,0.3083801
81,0.3084124,0.3127405
82,0.3120622,0.3163238
83,0.3157018,0.3199866
84,0.3192704,0.3237092
85,0.3228308,0.3272594
86,0.3265311,0.3308864
87,0.3301374,0.3345346
88,0.333754,0.3381072
89,0.3374374,0.3417845
90,0.3410185,0.3454282
91,0.3446894,0.3490572
92,0.3482333,0.3526613
93,0.3518749,0.3581282
94,0.3573684,0.3620633
95,0.361202,0.3656947
96,0.3648873,0.3693759
97,0.3685395,0.3730845
98,0.3738602,0.3766906
99,0.3779874,0.3803242
100,0.381679,0.3839242
101,0.3852914,0.3915261
102,0.3888976,0.3956865
103,0.394256,0.3993259
104,0.3983203,0.4030447
105,0.4019101,0.4066552
106,0.4054349,0.4102262
107,0.4090497,0.4138178
108,0.412666,0.4174096
109,0.4162956,0.4210009
110,0.4199391,0.4246053
111,0.4235706,0.4282408
112,0.4272516,0.4336468
113,0.4309164,0.4376825
114,0.4345079,0.4412846
115,0.4381499,0.4448595
116,0.441802,0.4484012
117,0.4454038,0.4519863
118,0.4490581,0.4555404
119,0.4527766,0.4591782
120,0.4580995,0.4627199
121,0.4622812,0.466422
122,0.4659411,0.4700451
123,0.4696165,0.4736471
124,0.4732083,0.4772678
125,0.4767956,0.4808346
126,0.4803643,0.4844452
127,0.4839749,0.4880075
128,0.4875351,0.4915553
129,0.4911709,0.4951221
130,0.4948184,0.4987259
131,0.4986123,0.502324
132,0.5021974,0.505976
133,0.5060226,0.5104719
134,0.5105145,0.5146012
135,0.5157601,0.5182555
136,0.5198476,0.5218513
137,0.5234476,0.525453
138,0.5270832,0.5290366
139,0.5307622,0.5326262
140,0.5344208,0.536182
141,0.5380539,0.5397492
142,0.5416478,0.543305
143,0.5452831,0.546847
144,0.5488874,0.5504196
145,0.5526268,0.5541305
146,0.5562353,0.5577281
147,0.5598831,0.5613176
148,0.5635979,0.5649034
149,0.5672706,0.5684759
150,0.5708375,0.5720719
151,0.5743852,0.5757758
152,0.5779936,0.5793823
153,0.5816477,0.5830343
154,0.5853313,0.5866221
155,0.5890456,0.5904009
156,0.5926478,0.5939512
157,0.5962518,0.5974759
158,0.5998895,0.6012118
159,0.603452,0.6047634
160,0.6070834,0.6083555
161,0.6107311,0.6119993
162,0.614325,0.6155886
163,0.6179271,0.6194116
164,0.6214895,0.622976
165,0.625073,0.6265242
166,0.6287271,0.6301884
167,0.6323476,0.6337409
168,0.6361207,0.6373906
169,0.6396999,0.6409639
170,0.6433456,0.6445614
171,0.64695,0.6481388
